job_title,publish,company_name,city,description,website
IT Inhouse Consultant Business Intelligence / Data Analyst (m/w/d),vor 1 Tag,Wilhelm Böllhoff GmbH & Co. KG,Bielefeld,Zur Stärkung unseres Unternehmensbereiches Wilhelm Böllhoff GmbH & Co. KG suchen wir für unseren Hauptsitz in Bielefeld Sie als IT Inhouse Consultant Business Intelligence / (m/w/d),stepstone
Data Scientist / Analyst - Web (m/w/d),vor 6 Tagen,Neue Westfälische GmbH & Co. KG,Bielefeld,Wir suchen nach einem Data Analyst/Data Scientist (m/w/d) mit dem Fokus auf unsere Website.,stepstone
ERP Specialist / Business Data Analyst (m/w/d),vor 1 Woche,DAYTON PROGRESS GmbH,"Hamburg, Köln, Bielefeld, Hannover, Berlin, Leipzig, Frankfurt am Main, Mannheim, München,",Aktuell sucht Dayton Progress einen ERP Specialist & Business Data Analyst (m/w/d).,stepstone
Data Analyst / Scientist (m/w/d),vor 1 Woche,eWolff GmbH,Bielefeld,"Finde Deine Rolle und verstärke unser Team Data Analytics als Data Analyst / Scientist (m/w/d) Data-Driven? * Science, BWL/VWL, MINT oder ähnliches studiert",stepstone
Consultant Data Analyst (m/w/d),vor 3 Tagen,Arvato Systems GmbH,Gütersloh,"Und darum suchen wir dich als Consultant Data Analyst (m/w/d) für unseren Standort in Gütersloh mit der Möglichkeit remote zu arbeiten. * Du konzipierst Laderoutinen und Datenmodelle für die zentrale Microsoft SQL-Server -Warehouse Umgebung und entwickelst diese eigenverantwortlich weiter * Idealerweise verfügst du bereits über Berufserfahrung im Umfeld Analytics * Dein Wissen in relationalen Datenbanken (Microsoft SQL-Server) und -Warehouse Konzepten zur Aufbereitung und Historisierung von Daten zeichnen dich aus * Du kannst dich auf umfangreiche und vielfältige Weiterbildungsmöglichkeiten freuen, um deine und Agile Skills weiter auszubauen",stepstone
Data / Business Analyst (m/w/d),vor 1 Woche,eWolff GmbH,Bielefeld,"Finde Deine Rolle und verstärke unser Team Data Analytics als Data / Business Analyst (m/w/d) Data-Driven? * BWL/VWL, Science, Wirtschaftsinformatik oder ein verwandtes Fachgebiet studiert",stepstone
Data Scientist (m/w/d),vor 5 Tagen,CONTACT Software GmbH,"Home-Office oder Bremen, Berlin, Paderborn, Duisburg, Köln, Frankfurt, Karlsruhe, Augsburg, München","CONTACT Software GmbH * Home-Office oder Bremen, Berlin, Paderborn, Duisburg, Köln, Frankfurt, Karlsruhe, Augsburg, München * Feste Anstellung * Home Office möglich,Vollzeit - CONTACT Software verbindet Menschen, Unternehmen und Systeme - Als führender Softwarehersteller für innovative Produktentstehungsprozesse und die digitale Transformation haben wir einen modularen Software-Baukasten auf Basis einer offenen Technologieplattform geschaffen, mit dem unsere weltweiten Kunden als internationale Marktführer ihre Produktdaten in agilen Prozessen und kollaborativen Projekten effizienter nutzen. Seit über 30 Jahren entwickeln und implementieren wir smarte Softwarelösungen, die moderne IT-Systeme mit dem Internet der Dinge (IoT) verbinden. Mehr als 350 kreative Köpfe an über zehn Standorten und ein internationales Partnernetzwerk arbeiten täglich daran, unsere Angebote und",stepstone
Data Scientist (m/w/d),vor 1 Woche,FERCHAU GmbH,Bielefeld,"Planung, Konzeption, Umsetzung und Wartung von Lösungen in den Bereichen Big Data und Data Science",stepstone
Junior Berater*in Prozess- und Datenintegration,vor 3 Wochen,NTT DATA Business Solutions AG,"Berlin, Bielefeld, Dortmund, Göttingen, Hamburg, Heidelberg, Jena, Köln, München ...und weitere","NTT DATA Business Solutions AG - Als Teil der globalen NTT DATA Gruppe, einem der erfolgreichsten IT-Dienstleister der Welt, sind wir als NTT Business Solutions auf wertschöpfende SAP-Lösungen spezialisiert. Get empowered by NTT Business Solutions! Wir sind davon überzeugt, dass Diversity für ein starkes innovatives Unternehmen wie NTT Business Solutions unerlässlich ist, daher möchten wir gerne möglichst viele unterschiedliche Menschen für uns begeistern.",stepstone
Consultant Data Science (f/m/d) fulltime/parttime Teilzeit/Vollzeit,vor 1 Woche,PwC,"Berlin, Bielefeld, Bremen, Duisburg, Düsseldorf, Erfurt, Essen, Frankfurt a. M., Hamburg, Hannover,",You have gained initial experience along the Machine Learning pipeline - from data preparation to developing and evaluating models.,stepstone
(Junior) IT Consultant Microsoft Dynamics 365 CRM (m/w/d),vor 5 Tagen,Arvato Infoscore GmbH,"Verl, Baden-Baden","Wir suchen Kolleg_innen, die Lust haben mitzugestalten und genau hinzuschauen - egal ob Berufseinsteigende, IT-Expert_innen, _innen, Sachbearbeiter_innen, Führungskräfte oder Quereinsteigende.",stepstone
