job_title,publish,company,city,description,link,website
Business Architect (m/w/d) Warehouse,vor 1 Woche,Nagel-Group | Kraftverkehr Nagel SE & Co. KG,Versmold,Projektmanagement im Rahmen der Umsetzung neuer Softwareanforderungen in enger Kooperation mit und IT * Identifizierung von Software-Demands aus dem und Erarbeitung eines realistischen Cases zur Wirtschaftlichkeitsbetrachtung * Steuerung und Priorisierung der Demands in einem systemgestützten Prozess * Überführung der Anforderungen des in ein logisches und praxisgerechtes Funktionalkonzept für die IT * Pilotierung der neuen Anwendungen und Übergabe an das zum Rollout * Mindestens 3 Jahre Berufserfahrung im IT Projektmanagement oder im Bereich Architecture,https://www.stepstone.de/stellenangebote--Business-Architect-m-w-d-Warehouse-Versmold-Nagel-Group-Kraftverkehr-Nagel-SE-Co-KG--8830470-inline.html,stepstone
Data Scientist / Analyst - Web (m/w/d),vor 1 Woche,Neue Westfälische GmbH & Co. KG,Bielefeld,"Du hast Spaß daran, Business-Anforderungen in Analytics-Fragestellungen zu übersetzen und behältst dabei mit Leichtigkeit den Überblick über unterschiedlichste Themen? Wir suchen nach einem Data /Data Scientist (m/w/d) mit dem Fokus auf unsere Website. „Wir“, das ist das Intelligence Team der Mediengruppe Neue Westfälische, das die Datenanalyse, technische Unterstützung bei der Umsetzung digitaler Kampagnen und Weiterentwicklung von KPI's und Zielgruppenanalysen für die Zeitungsgruppe treibt. * Kompetenz und Erfahrung in der -Analyse, fundierte Kenntnisse von deskriptiver Statistik und",https://www.stepstone.de/stellenangebote--Data-Scientist-Analyst-Web-m-w-d-Bielefeld-Neue-Westfaelische-GmbH-Co-KG--8866842-inline.html,stepstone
Cyber Security Analyst (m/w/d),vor 5 Tagen,OEDIV Oetker Daten- und Informationsverarbeitung KG,"Bielefeld, Rostock, Augsburg, Oldenburg, Berlin, Frankfurt am Main","Incident Response, Business Continuity Management sowie IT-Forensik sind für Dich keine Fremdwörter",https://www.stepstone.de/stellenangebote--Cyber-Security-Analyst-m-w-d-Bielefeld-Rostock-Augsburg-Oldenburg-Berlin-Frankfurt-am-Main-OEDIV-Oetker-Daten-und-Informationsverarbeitung-KG--8840315-inline.html,stepstone
Data Analyst / Scientist (m/w/d),vor 1 Woche,eWolff GmbH,Bielefeld,Finde Deine Rolle und verstärke unser Team Data Analytics als Data Analyst / Scientist (m/w/d) * Du erprobst und etablierst diese Verfahren im daily,https://www.stepstone.de/stellenangebote--Data-Analyst-Scientist-m-w-d-Bielefeld-eWolff-GmbH--8228787-inline.html,stepstone
Research Manager and Analyst (m/w/d) mit dem Schwerpunkt PLM und Shipbuilding,vor 6 Tagen,CONTACT Software GmbH,"Home-Office oder Bremen, Berlin, Paderborn, Duisburg, Köln, Frankfurt, Karlsruhe, Augsburg, München",Identifikation und Entwicklung von datengesteuerten Innovationen für Geschäftswachstum und durch Wertschöpfung durch Prozess- und Datenverständnis,https://www.stepstone.de/stellenangebote--Research-Manager-and-Analyst-m-w-d-mit-dem-Schwerpunkt-PLM-und-Shipbuilding-Home-Office-oder-Bremen-Berlin-Paderborn-Duisburg-Koeln-Frankfurt-Karlsruhe-Augsburg-Muenchen-CONTACT-Software-GmbH--8870834-inline.html,stepstone
Business Consultant (m/w/d) on-site oder remote,vor 2 Tagen,Arvato Systems Digital GmbH,Gütersloh,"Und daher suchen wir dich als Business Consultant (m/w/d) on-site oder remote für unseren Standort in Gütersloh, Rostock oder Wilhelmshaven. * Du berätst unsere Kunden bei der Entwicklung, Einführung und Optimierung von innovativen und Digitalisierungs-Strategien sowie digitalen cloudbasierten Geschäftsmodellen * Du kannst bestehende Kundenprozesse und Wertschöpfungsketten analysieren, um Zielbilder zu gestalten - dabei hast du immer den Erfolg des Kunden im Blick * Du lebst Consulting als Türöffner für Akquisen und unterstützt in Angebotssituationen * Du hast Know-how und Erfahrung in der Rolle Product Owner, Requirements Engineering, -Analyse oder System-Analyse",https://www.stepstone.de/stellenangebote--Business-Consultant-m-w-d-on-site-oder-remote-Guetersloh-Arvato-Systems-Digital-GmbH--8845269-inline.html,stepstone
Strategischer Einkäufer m|w|d Business Unit Professional,vor 3 Tagen,Miele & Cie. KG,Bielefeld,"Miele & Cie. * Bielefeld * Feste Anstellung * Vollzeit - Über Miele - Wie wird man als Familienunternehmen Weltmarktführer im Premiumsegment für Hausgeräte und gefragter Partner für Lösungen in der Gewerbe- und Medizintechnik? Indem man den Anspruch hat, es immer besser zu machen und immer besser zu werden. Diese Haltung macht das Arbeiten bei Miele und den Erfolg unserer Produkte aus. Unsere etwa 22.000 Mitarbeitenden können sich darauf verlassen: Wer unser Qualitätsstreben lebt, der wächst persönlich und fachlich daran mit. Über den Bereich - Miele Professional konzentriert sich auf Systemlösungen für Gewerbeanwendungen. Diese innovativen Konzepte umfassen Produkte in den Bereichen gewerbliches Geschirrspülen, Wäschereitechnik, Labortechnik, Dental und Medizintechnik. Für unterschiedliche Anwendungsbereiche steht der Mehrwert für die Zielgruppen im Mittelpunkt der I",https://www.stepstone.de/stellenangebote--Strategischer-Einkaeufer-mwd-Business-Unit-Professional-Bielefeld-Miele-Cie-KG--8889602-inline.html,stepstone
Praktikant/Werkstudent Nachhaltigkeit Data Specialist (w/m/d),vor 2 Wochen,PwC,"Berlin, Bielefeld, Bremen, Duisburg, Düsseldorf, Erfurt, Essen, Frankfurt a. M., Hamburg, Hannover","PwC * Berlin, Bielefeld, Bremen, Duisburg, Düsseldorf, Erfurt, Essen, Frankfurt a. M., Hamburg, Hannover * Praktikum,Studentenjobs, Werkstudent * Teilzeit,Vollzeit - Du hast Talent. Wir sind ein internationales Netzwerk aus 284.000 Mitarbeiter:innen, die ihr Wissen, ihre Erfahrungen und ihre Ideen miteinander teilen. Du suchst einen herausfordernden, spannenden Job. Wir bieten dir als weltweit führende Wirtschaftsprüfungs- und Beratungsgesellschaft ein Maximum an Möglichkeiten für einen Karriereweg nach deinen Vorstellungen. Du möchtest Verantwortung für deine Ergebnisse übernehmen, Lösungen gemeinsam mit dem Kunden entwickeln, die digitale Transformation in Deutschland vorantreiben und einen Arbeitgeber mit passenden Werten. Unser Denken und Handeln orientiert sich an Grundsätzen, die von Vertrauen, Respekt, Weitsicht, Wertschätzung und Innovation geprägt sind.",https://www.stepstone.de/stellenangebote--Praktikant-Werkstudent-Nachhaltigkeit-Data-Specialist-w-m-d-Berlin-Bielefeld-Bremen-Duisburg-Duesseldorf-Erfurt-Essen-Frankfurt-a-M-Hamburg-Hannover-PwC--8752064-inline.html,stepstone
(Junior) IT Consultant Microsoft Dynamics 365 CRM (m/w/d),vor 1 Woche,Arvato Infoscore GmbH,"Verl, Baden-Baden","Wir suchen Kolleg_innen, die Lust haben mitzugestalten und genau hinzuschauen - egal ob Berufseinsteigende, IT-Expert_innen, Data _innen, Sachbearbeiter_innen, Führungskräfte oder Quereinsteigende. * Du analysierst fortlaufend unsere und Applikationslandschaft und bringst Deine Ideen zur Optimierung dieser ein",https://www.stepstone.de/stellenangebote--Junior-IT-Consultant-Microsoft-Dynamics-365-CRM-m-w-d-Verl-Baden-Baden-Arvato-Infoscore-GmbH--8673923-inline.html,stepstone
Junior Konfigurationsmanager (m/w/d),vor 1 Woche,infoscore Business Support GmbH,"Baden-Baden, Verl","infoscore Business Support GmbH - Wir suchen Kolleg_innen, die Lust haben mitzugestalten und genau hinzuschauen - egal ob Berufseinsteigende, IT-Expert_innen, Data _innen, Sachbearbeiter_innen, Führungskräfte oder Quereinsteigende. Unternehmen: infoscore Support GmbH",https://www.stepstone.de/stellenangebote--Junior-Konfigurationsmanager-m-w-d-Baden-Baden-Verl-infoscore-Business-Support-GmbH--8702911-inline.html,stepstone
