job_title,publish,company_name,city,description,link,website
Übersetzer/Translator (w/m/d) German-Czech,vor 1 Woche,Kaufland e-commerce,"Köln, Darmstadt, Düsseldorf, Home-Office","Kaufland e-commerce * Köln, Darmstadt, Düsseldorf, Home-Office * Feste Anstellung * Home Office möglich,Vollzeit - Anstellungsdetails - Anstellung, Vollzeit, Köln / Darmstadt / Düsseldorf / Remote - Info - Wer wir sind - Wir betreiben Kaufland.de: Mehrere Tausend Händler und Millionen von Produkten machen uns zu einem der am schnellsten wachsenden Online-Marktplätze. Unsere dynamische Unternehmenskultur mit Start-up-Mentalität und die Möglichkeiten einer großen Unternehmensgruppe im Rücken zeichnen uns aus. Bei uns treffen Wissen und langjährige Erfahrung im E-Commerce auf flache Hierarchien und ein hochmotiviertes Team. Egal ob Praktikant oder Führungskraft: Bei uns wird jede Idee ernst genommen, denn wir wollen gemeinsam die Zukunft des E-Commerce gestalten! Wir l(i)eben Flexibilität: Wir bieten dir beste Voraussetzungen, damit du in einem für dich optimalen Umfeld",https://www.stepstone.de/stellenangebote--Uebersetzer-Translator-w-m-d-German-Czech-Koeln-Darmstadt-Duesseldorf-Home-Office-Kaufland-e-commerce--8826766-inline.html,stepstone
(Senior) Consultant Data & Analytics Transfer Pricing Teilzeit/Vollzeit (w/m/d),vor 1 Woche,PwC,verschiedene Standorte bundesweit,"PwC (Senior) Consultant Data & Analytics Transfer Pricing Teilzeit/Vollzeit (w/m/d) Du hilfst uns, Data Analytics in unserer Abteilung tiefer zu verankern sowie komplexe Mandantensachverhalte mit Analytics-Lösungen zu durchdringen und interaktiv greifbar zu gestalten. Steuerliche Beratung - Du generierst einen Mehrwert für unsere Mandanten, indem du & Analytics-Lösungen für die Beratung von multinationalen Unternehmen bei der steuerlichen Optimierung von Konzernstrukturen entlang der Wertschöpfungskette entwickelst. Wir definieren & Analytics dabei als einen integralen Bestandteil unseres Beratungsansatzes entlang des kompletten Verrechnungspreiszyklus, von dem Entwurf einer Verrechnungspreisstrategie bis hin zur internationalen Verteidigung. Entsprechend ist die & Anal",https://www.stepstone.de/stellenangebote--Senior-Consultant-Data-Analytics-Transfer-Pricing-Teilzeit-Vollzeit-w-m-d-verschiedene-Standorte-bundesweit-PwC--7320905-inline.html,stepstone
Senior Cloud Security Engineer,vor 1 Woche,MessageBird GmbH,bundesweit,"You will have the opportunity to grow your skill sets and get involved in all aspects of security across MessageBird, including cloud security, application security, security monitoring and incident response, penetration testing and vulnerability management, security, governance and compliance.",https://www.stepstone.de/stellenangebote--Senior-Cloud-Security-Engineer-bundesweit-MessageBird-GmbH--8071971-inline.html,stepstone
Quality Assurance Engineer Automation / Softwaretester Automatisierung (w/m/d),vor 1 Woche,thevea GmbH,"Home-Office, bundesweit","Dann haben wir den idealen Job für dich: Die thevea GmbH bietet dir als Corporate Startup der opta data Gruppe die optimale Grundlage für kreative und ganzheitliche Arbeit. Unabhängig von den Texten in unseren Stellenanzeigen betonen wir, dass bei opta alle Menschen gleichermaßen willkommen sind.",https://www.stepstone.de/stellenangebote--Quality-Assurance-Engineer-Automation-Softwaretester-Automatisierung-w-m-d-Home-Office-bundesweit-thevea-GmbH--8812706-inline.html,stepstone
(Senior) IT-Security (SOC) Engineer (m/f/d) Remote,vor 1 Woche,BestSecret Group,"Aschheim bei München, remote / Homeoffice","You are responsible for onboarding on new data sources, implementing of new use cases and optimizing of our incident response processes.",https://www.stepstone.de/stellenangebote--Senior-IT-Security-SOC-Engineer-m-f-d-Remote-Aschheim-bei-Muenchen-remote-Homeoffice-BestSecret-Group--8806282-inline.html,stepstone
Senior Product Analyst,vor 1 Woche,MessageBird GmbH,bundesweit,"We are looking for someone who can educate our product managers and engineers on best practices for instrumentation, metrics, and insights, and encourage a -driven culture within the organisation to foster accountability and decision making. Be at the cradle of new products and bring existing products to the next level of maturity. * Have a deep understanding of Messagebird's products and the wide variety of they produce and proactively identify opportunities for improving the overall user experience; * Present your findings and recommendations to the wider team and and champion the use of to make product decisions; * Collaborate with and to help define clear, trustworthy, optimized sources of truth by understanding the business logic and",https://www.stepstone.de/stellenangebote--Senior-Product-Analyst-bundesweit-MessageBird-GmbH--8071986-inline.html,stepstone
Mitarbeiter 1st Level Support (m/w/d),vor 2 Wochen,FELTEN GmbH,"Wecker (Luxemburg), deutschlandweit","FELTEN GmbH * Wecker (Luxemburg), deutschlandweit * Feste Anstellung * Vollzeit - Willkommen bei der FELTEN Group – gestalten Sie mit uns gemeinsam die Fertigungsindustrie der Zukunft! Seit 30 Jahren entwickelt Felten anspruchsvolle Softwarelösungen zur Steuerung und Optimierung der gesamten Wertschöpfungskette in Fertigungsunternehmen der Prozessindustrie. Mit viel Erfahrung bringen wir erfolgreich unsere Kompetenz in die Zukunftsanforderungen der Produktion wie die Digitale Transformation, IIoT und Industrie 4.0 ein. Als Teil der MPDV-Gruppe unterstützen wir mit rund 500 Mitarbeitern an weltweit 13 Standorten Unternehmen jeder Größe auf ihrem Weg zur Smart Factory. Zu unseren Kunden zählen namhafte Unternehmen insbesondere der Branchen Pharmazie, Kosmetik, Geschmacks- und Duftstoffe sowie Lebensmittel. Was Sie erwartet",https://www.stepstone.de/stellenangebote--Mitarbeiter-1st-Level-Support-m-w-d-Wecker-Luxemburg-deutschlandweit-FELTEN-GmbH--8802856-inline.html,stepstone
Microsoft SharePoint & M365 Administrator / Spezialist (m/w/d) - bis zu 100 % remote,vor 2 Wochen,DZ PRIVATBANK S.A.,"Home-Office, Frankfurt am Main, Berlin, Düsseldorf, Hamburg, Hannover, München, Nürnberg, Stuttgart","Microsoft SharePoint & M365 Administrator / Spezialist (m/w/d) - bis zu 100 % remote * Home-Office, Frankfurt am Main, Berlin, Düsseldorf, Hamburg, Hannover, München, Nürnberg, Stuttgart * Feste Anstellung * Home Office möglich,Vollzeit - Wir sind die genossenschaftliche Privatbank der Volksbanken Raiffeisenbanken und auf die Geschäftsfelder Private Banking, Fondsdienstleistungen und Kredite in allen Währungen spezialisiert. Unser Geschäftsmodell basiert auf der engen Kooperation mit der genossenschaftlichen FinanzGruppe und unserer Standortpräsenz an den internationalen Finanzplätzen in Luxemburg, Deutschland und der Schweiz. Mit Assets under Management in Höhe von rund 23 Milliarden Euro gehören wir zu den ganz großen Vermögensverwaltern Deutschlands und mit einem verwahrten Vermögen von rund 180 Milliarden Euro unterstreichen wir die Marktführerschaft als ...",https://www.stepstone.de/stellenangebote--Microsoft-SharePoint-M365-Administrator-Spezialist-m-w-d-bis-zu-100-remote-Home-Office-Frankfurt-am-Main-Berlin-Duesseldorf-Hamburg-Hannover-Muenchen-Nuernberg-Stuttgart-DZ-PRIVATBANK-S-A--8798072-inline.html,stepstone
Business Intelligence Data Architect (m/w/d) bei Corporate Financial Systems & Processes,vor 1 Woche,DACHSER SE,bundesweit,"Business Intelligence Data Architect (m/w/d) bei Corporate Financial Systems & Processes * Sie arbeiten bei Corporate Financial Systems & Processes im Fachbereich Business Intelligence in einem deutschlandweiten Team und übernehmen Verantwortung bei der Entwicklung von Business Intelligence-Lösungen im Bereich der Frontend Architektur und bei der Erstellung von Datenmodellen insbesondere auf Basis des MS SQL Warehouse im Rahmen der zukünftigen BI Zielarchitektur. * Sie bringen sich im Team Architecture und Scrum Team mit Ideen ein und initiieren interne Projekte, um Schwachstellen zu beseitigen und Verbesserungspotential in der Systemarchitektur als Team zu erschließen. * Erfahrungen in der Warehouse Backend Modellierung sind von Vorteil, ebenso Kenntnisse im Bereich API's und Web Devel",https://www.stepstone.de/stellenangebote--Business-Intelligence-Data-Architect-m-w-d-bei-Corporate-Financial-Systems-Processes-bundesweit-DACHSER-SE--8323710-inline.html,stepstone
Consultant/ Spezialist - Software für Planungsbüros - Elektrotechnik w/m/d,vor 1 Monat,Schneider Electric GmbH,bundesweit,"Schneider Electric GmbH * bundesweit * Feste Anstellung * Vollzeit - Beschreibung der Position - Deutschlandweit – flexibler Arbeitsplatz - Du bist Expert:in wenn es um Software für Planungsbüros geht? BIM und Revit sind keine Fremdworte für Dich? Dann wird Dich diese Position mit ihrem Mix aus Technik, Beratung und Lösungsfindung begeistern! Wir suchen aktuell eine/n Consultant/ Spezialist:in für das Thema Software für Planungsbüros. In dieser Funktion koordinierst und gestaltest Du das Softwareangebot von Schneider Electric für Planungsbüro und arbeitest dabei eng mit den Kolleg:innen aus dem Vertrieb und dem Marketing zusammen. Dabei leistest Du einen echten Mehrwert für unsere Kunden, die diese Software nutzen, um im Zuge der Digitalisierung die Verknüpfung von virtuellem und realem Bauen voranzutreiben und so den gesamten Projektlebenszyklus produktiver, günstige",https://www.stepstone.de/stellenangebote--Consultant-Spezialist-Software-fuer-Planungsbueros-Elektrotechnik-w-m-d-bundesweit-Schneider-Electric-GmbH--8165080-inline.html,stepstone
