job_title,publish,company,city,description,link,website,date,search_title
Business Analyst - Customer Journey Analytics (m/f/d),vor 1 Woche,IU Internationale Hochschule,"Home-Office, bundesweit, Berlin, München",,https://www.stepstone.de/stellenangebote--Business-Analyst-Customer-Journey-Analytics-m-f-d-Home-Office-bundesweit-Berlin-Muenchen-IU-Internationale-Hochschule--8859455-inline.html,stepstone,2022-11-21,Business_Analyst
IT Business Analyst Prozessmanagement / BPMN (m/w/d),vor 3 Tagen,Materna Information & Communications SE,"bundesweit, Remote",,https://www.stepstone.de/stellenangebote--IT-Business-Analyst-Prozessmanagement-BPMN-m-w-d-bundesweit-Remote-Materna-Information-Communications-SE--8932782-inline.html,stepstone,2022-11-21,Business_Analyst
Technical Business Analyst (m/w/d),vor 1 Woche,AXA Konzern AG,deutschlandweit,,https://www.stepstone.de/stellenangebote--Technical-Business-Analyst-m-w-d-deutschlandweit-AXA-Konzern-AG--8803444-inline.html,stepstone,2022-11-21,Business_Analyst
Senior Digital Business Analyst (w/m/x),vor 1 Woche,IBM iX,"Düsseldorf, Home-Office",,https://www.stepstone.de/stellenangebote--Senior-Digital-Business-Analyst-w-m-x-Duesseldorf-Home-Office-IBM-iX--8808115-inline.html,stepstone,2022-11-21,Business_Analyst
(Junior/Senior) Business Analyst (w/m/d),vor 3 Wochen,ALTER SOLUTIONS Deutschland GmbH,"Düsseldorf, Münster, München, Hamburg, Berlin, bundesweit ( Home-Office)",,https://www.stepstone.de/stellenangebote--Junior-Senior-Business-Analyst-w-m-d-Duesseldorf-Muenster-Muenchen-Hamburg-Berlin-bundesweit-Home-Office-ALTER-SOLUTIONS-Deutschland-GmbH--7821375-inline.html,stepstone,2022-11-21,Business_Analyst
Robotic Process Automation (RPA) Business Analyst (m/w/d) - bis zu 100 % remote,vor 1 Woche,DZ PRIVATBANK S.A.,"Home-Office, Frankfurt am Main, Berlin, Düsseldorf, Hamburg, Hannover, München, Nürnberg, Stuttgart",,https://www.stepstone.de/stellenangebote--Robotic-Process-Automation-RPA-Business-Analyst-m-w-d-bis-zu-100-remote-Home-Office-Frankfurt-am-Main-Berlin-Duesseldorf-Hamburg-Hannover-Muenchen-Nuernberg-Stuttgart-DZ-PRIVATBANK-S-A--8845124-inline.html,stepstone,2022-11-21,Business_Analyst
Platform Architect / Platform Analyst / Solution Consultant – ServiceNow (m/w/d),vor 3 Tagen,SVA System Vertrieb Alexander GmbH,deutschlandweit,,https://www.stepstone.de/stellenangebote--Platform-Architect-Platform-Analyst-Solution-Consultant-ServiceNow-m-w-d-deutschlandweit-SVA-System-Vertrieb-Alexander-GmbH--8931415-inline.html,stepstone,2022-11-21,Business_Analyst
"Research Manager and Analyst (m/w/d) mit Schwerpunkt PLM, BIM und Fabrikplanung",vor 2 Tagen,CONTACT Software GmbH,"München, Augsburg, Ingolstadt oder im Home-Office in Bayern",,https://www.stepstone.de/stellenangebote--Research-Manager-and-Analyst-m-w-d-mit-Schwerpunkt-PLM-BIM-und-Fabrikplanung-Muenchen-Augsburg-Ingolstadt-oder-im-Home-Office-in-Bayern-CONTACT-Software-GmbH--8870917-inline.html,stepstone,2022-11-21,Business_Analyst
Web Analyst (d/m/w),vor 1 Woche,Digital Masters GmbH,"Hamburg, Home-Office",,https://www.stepstone.de/stellenangebote--Web-Analyst-d-m-w-Hamburg-Home-Office-Digital-Masters-GmbH--8846392-inline.html,stepstone,2022-11-21,Business_Analyst
Senior Data Analyst Ground Operations (F/M/D,vor 3 Tagen,DHL Express,Europa,,https://www.stepstone.de/stellenangebote--Senior-Data-Analyst-Ground-Operations-F-M-D-Europa-DHL-Express--8935255-inline.html,stepstone,2022-11-21,Business_Analyst
Senior Analyst (w/m/d),vor 1 Woche,Bauer Media Group,Bundesweit,,https://www.stepstone.de/stellenangebote--Senior-Analyst-w-m-d-Bundesweit-Bauer-Media-Group--8348536-inline.html,stepstone,2022-11-21,Business_Analyst
Senior Product Analyst,vor 1 Woche,MessageBird GmbH,bundesweit,,https://www.stepstone.de/stellenangebote--Senior-Product-Analyst-bundesweit-MessageBird-GmbH--8071986-inline.html,stepstone,2022-11-21,Business_Analyst
(Senior) Data Analyst (w/m/d),vor 1 Woche,Bauer Media Group,"Hamburg, Home-Office",,https://www.stepstone.de/stellenangebote--Senior-Data-Analyst-w-m-d-Hamburg-Home-Office-Bauer-Media-Group--8898738-inline.html,stepstone,2022-11-21,Business_Analyst
Analytics Lead - Business intelligence,vor 1 Woche,SumUp Services GmbH,bundesweit,,https://www.stepstone.de/stellenangebote--Analytics-Lead-Business-intelligence-bundesweit-SumUp-Services-GmbH--8068000-inline.html,stepstone,2022-11-21,Business_Analyst
Senior Business Intelligence Consultant*,vor 3 Wochen,Bissantz & Company GmbH,"Nürnberg, Hamburg, Home-Office",,https://www.stepstone.de/stellenangebote--Senior-Business-Intelligence-Consultant-Nuernberg-Hamburg-Home-Office-Bissantz-Company-GmbH--8139029-inline.html,stepstone,2022-11-21,Business_Analyst
SAP Inhouse Consultant Materials Management (MM) (m/w/d),vor 4 Tagen,Chemische Fabrik Budenheim KG,"Budenheim, Home-Office",,https://www.stepstone.de/stellenangebote--SAP-Inhouse-Consultant-Materials-Management-MM-m-w-d-Budenheim-Home-Office-Chemische-Fabrik-Budenheim-KG--7917713-inline.html,stepstone,2022-11-21,Business_Analyst
(Junior) Berater (m/w/d) für die Energiewirtschaft,vor 1 Woche,Arvato Systems Digital GmbH,"Home-Office, Leipzig, Köln, Berlin, Hamburg",,https://www.stepstone.de/stellenangebote--Junior-Berater-m-w-d-fuer-die-Energiewirtschaft-Home-Office-Leipzig-Koeln-Berlin-Hamburg-Arvato-Systems-Digital-GmbH--8916905-inline.html,stepstone,2022-11-21,Business_Analyst
Duales Studium Wirtschaftsinformatik (B.Sc.) am Campus oder online,vor 3 Tagen,IU Internationale Hochschule,"Home-Office, bundesweit, Hamburg, Hannover, Köln, Leipzig, München, Münster, Nürnberg, Stuttgart,",,https://www.stepstone.de/stellenangebote--Duales-Studium-Wirtschaftsinformatik-B-Sc-am-Campus-oder-online-Home-Office-bundesweit-Hamburg-Hannover-Koeln-Leipzig-Muenchen-Muenster-Nuernberg-Stuttgart-IU-Internationale-Hochschule--8932547-inline.html,stepstone,2022-11-21,Business_Analyst
Softwareentwickler EDI / EAI (m/w/d),vor 5 Tagen,Hellmann Worldwide Logistics SE & Co. KG,"Osnabrück, Home Office",,https://www.stepstone.de/stellenangebote--Softwareentwickler-EDI-EAI-m-w-d-Osnabrueck-Home-Office-Hellmann-Worldwide-Logistics-SE-Co-KG--8510558-inline.html,stepstone,2022-11-21,Business_Analyst
Junior Berater (m/w/d) für Software & Digitalisierung,vor 1 Woche,ReqPOOL Deutschland GmbH,"Berlin, München, Stuttgart, Frankfurt am Main, Hamburg, Hannover, Köln, Leipzig (Home Office)",,https://www.stepstone.de/stellenangebote--Junior-Berater-m-w-d-fuer-Software-Digitalisierung-Berlin-Muenchen-Stuttgart-Frankfurt-am-Main-Hamburg-Hannover-Koeln-Leipzig-Home-Office-ReqPOOL-Deutschland-GmbH--8619439-inline.html,stepstone,2022-11-21,Business_Analyst
DevOps Spezialist | Platform Engineer | Team Artikeleinsatzfähigkeit | REMOTE (w/m/d),vor 1 Woche,Otto (GmbH & Co KG),deutschlandweit,,https://www.stepstone.de/stellenangebote--DevOps-Spezialist-Platform-Engineer-Team-Artikeleinsatzfaehigkeit-REMOTE-w-m-d-deutschlandweit-Otto-GmbH-Co-KG--7971989-inline.html,stepstone,2022-11-21,Business_Analyst
(Junior) Product Manager (f/d/m),vor 6 Tagen,USU Technologies GmbH,"Home-Office, Aachen, Bonn, Karlsruhe, Köln, Leinfelden-Echterdingen, Marburg, Möglingen, München",,https://www.stepstone.de/stellenangebote--Junior-Product-Manager-f-d-m-Home-Office-Aachen-Bonn-Karlsruhe-Koeln-Leinfelden-Echterdingen-Marburg-Moeglingen-Muenchen-USU-Technologies-GmbH--8869751-inline.html,stepstone,2022-11-21,Business_Analyst
(Senior) Project Manager (m/w/d) im Bereich E-Commerce,vor 3 Tagen,best it AG,"Amstetten, Berlin, Köln, Velen, Home-Office",,https://www.stepstone.de/stellenangebote--Senior-Project-Manager-m-w-d-im-Bereich-E-Commerce-Amstetten-Berlin-Koeln-Velen-Home-Office-best-it-AG--7825221-inline.html,stepstone,2022-11-21,Business_Analyst
Head of Security Operations (SOC) (m/w/d),vor 1 Woche,Claranet GmbH,"Home-Office, Frankfurt am Main",,https://www.stepstone.de/stellenangebote--Head-of-Security-Operations-SOC-m-w-d-Home-Office-Frankfurt-am-Main-Claranet-GmbH--8702701-inline.html,stepstone,2022-11-21,Business_Analyst
Prozessmanager*in Datenbanken und Daten mit Schwerpunkt Projektentwicklung,vor 1 Woche,ENERTRAG Aktiengesellschaft,"Berlin, Homeoffice",,https://www.stepstone.de/stellenangebote--Prozessmanagerin-Datenbanken-und-Daten-mit-Schwerpunkt-Projektentwicklung-Berlin-Homeoffice-ENERTRAG-Aktiengesellschaft--8866291-inline.html,stepstone,2022-11-21,Business_Analyst
Head of Data Science - Teaching,vor 6 Tagen,DataCraft GmbH,Home-Office,,https://www.stepstone.de/stellenangebote--Head-of-Data-Science-Teaching-Home-Office-DataCraft-GmbH--8922699-inline.html,stepstone,2022-11-21,Business_Analyst
Teamleiter*in Financial Planning & Analysis,vor 1 Woche,GFT Technologies SE,"St. Georgen, Home-Office",,https://www.stepstone.de/stellenangebote--Teamleiterin-Financial-Planning-Analysis-St-Georgen-Home-Office-GFT-Technologies-SE--8856546-inline.html,stepstone,2022-11-21,Business_Analyst
IT Business Analyst (m/w/d),gestern,Goldbeck GmbH,Bielefeld,"Sie bilden die Schnittstelle zu unseren internen Fachbereichen und unterstützen bei der Auswahl und Einführung von IT-Lösungen Als primärer Ansprechpartner erstellen Sie Konzepte, modellieren Prozesse und klären fachliche Anforderungen in enger Zusammenarbeit mit den Fachbereichen Mit Ihrem Blick fürs Ganze fördern Sie den Einsatz neuer Technologien und prägen IT gestützte Prozesse der Fachbereiche Sie nehmen bei fachbereichsbezogenen Projekten mit agilen Projektteams eine wesentliche Rolle ein Die Steuerung externer Dienstleister liegt in Ihrer Verantwortung",https://www.jobware.de/job/it-business-analyst-m-w-d.995450665.html,jobware,2022-11-21,Business_Analyst
Business Analyst:in / Business Versteher:in,12.11.2022,viadee Unternehmensberatung AG,"Münster, Dortmund oder Köln","Umschwung begleiten: Die Digitalisierung wirbelt durch die Wirtschaft & Industrie. Durch deine Analyse komplexer fachlicher Anforderungen und deren Transformation in Spezifikationen für die Softwareentwicklung oder das Business Process Management, hilfst du unseren Kunden auf Kurs zu bleiben. Wandel gestalten: In langfristigen Kundenbeziehungen begleitest du ein Projekt von der Idee über die Umsetzung bis zum praktischen Einsatz und erzeugst so eine spürbare Veränderung. Abwechslung erleben: Du denkst nicht nur in fachlichen Domänen, sondern auch in technischen Lösungen und vermittelst hier den idealen Weg. Früher Geek, heute Trendsetter:in: In unserem F&E-Bereich kannst du neueste Methoden und Themen erproben und vorantreiben, die heute schon das Morgen denken - immer am Puls der Zeit. Früher Kumpels und ICQ, heute Kunde und Daily: Du begleitest anspruchsvolle Kundenprojekte im klassischen und agilen Umfeld in unterschiedlichen Rollen.",https://www.jobware.de/job/business-analyst-in-business-versteher-in.975078815.html,jobware,2022-11-21,Business_Analyst
Sales Consultant - Business Analyst (w/m/d),vor 4 Tagen,DTS Systeme GmbH,verschiedene Standorte,"Du zeigst unseren Kunden aus betriebswirtschaftlicher Sicht neue Möglichkeiten auf und stellst bisherige Konzepte auf den Prüfstand Mit Deinem betriebswirtschaftlichen Know-how berätst Du die Kunden hinsichtlich Bedarfs-, Optimierungs- und Kostenanalyse Du agierst in diesem Zusammenhang als wichtige Schnittstelle zwischen unserem Vertrieb und den technischen Fachabteilungen Dabei leistest Du wertvolle Unterstützung für unsere Stabstellen und bringst durch Deine Leidenschaft für betriebswirtschaftliche Themen essenzielles Wissen mit ein",https://www.jobware.de/job/sales-consultant-business-analyst-w-m-d.1019791805.html,jobware,2022-11-21,Business_Analyst
