job_title,publish,company,city,description,link,website,date,search_title
Erfahrener Ingenieur/Techniker als Konstrukteur (m/w/d) Allgemeiner Maschinenbau,vor 1 Woche,SCHULER KONSTRUKTIONEN GmbH & Co. KG,"Bad Hersfeld, Bielefeld, Chemnitz, Dresden, Duisburg, Hamburg, Hannover, Koblenz, Köln","SCHULER KONSTRUKTIONEN GmbH & Co. KG * Bad Hersfeld, Bielefeld, Chemnitz, Dresden, Duisburg, Hamburg, Hannover, Koblenz, Köln * Feste Anstellung * Vollzeit - Als führendes Engineering-Unternehmen, mit mehr als 500 Mitarbeitern in der gesamten SCHULER-Firmengruppe, setzt SCHULER KONSTRUKTIONEN auf Qualitätsarbeit durch hochqualifizierte und engagierte Mitarbeiter. Seit 1968 entwickeln und konstruieren unsere Spezialisten und Nachwuchskräfte für namhafte Kunden aus den verschiedensten Bereichen der Industrie. Durch unsere Branchen- und Konzernunabhängigkeit stehen wir für langfristige und sichere Arbeitsplätze. Unsere Standorte in Bad Hersfeld, Bielefeld, Chemnitz, Dresden, Duisburg, Hamburg, Hannover, Koblenz und Köln suchen jeweils erfahrene Konstrukteure (m/w/d) für interessante und abwechslungsreiche Projekte im Bereich des Allgemeinen Maschinenbaus. Ihr Tätigkeitsb",https://www.stepstone.de/stellenangebote--Erfahrener-Ingenieur-Techniker-als-Konstrukteur-m-w-d-Allgemeiner-Maschinenbau-Bad-Hersfeld-Bielefeld-Chemnitz-Dresden-Duisburg-Hamburg-Hannover-Koblenz-Koeln-SCHULER-KONSTRUKTIONEN-GmbH-Co-KG--7796193-inline.html,stepstone,2022-11-23,Maschinenbauingenieur_Python
Verfahrensmechaniker (w/m/d) Kunststoff-/Kautschuktechnik,vor 2 Wochen,EGGER – Mehr aus Holz | Deutschland,Brilon,"EGGER – Mehr aus Holz | Deutschland * Brilon * Feste Anstellung * Vollzeit - Qualität vom laufenden Band – das ist unsere PP-Kantenproduktion. Werden Sie Teil unseres Teams und setzen Sie Ihr technisches Know-how in unserem vollautomatisierten Produktionsprozess gezielt ein! Wir machen mehr aus Holz. Mit mehr als 10.000 Mitarbeitern in 10 Ländern - mit viel Leidenschaft, familiären Werten und innovativem Geist. So entstehen Produkte für den Möbel- und Innenausbau, den konstruktiven Holzbau sowie Laminatfußböden. Dabei sind wir stets in Bewegung und entwickeln uns weiter. Wir fertigen neue Produkte, erschließen neue Märkte und schaffen so Perspektiven für alle, die bei uns arbeiten. Ihre Aufgaben * Sie bedienen unsere hochtechnisierten Maschinen zur Kantenherstellung. * Zu Ihren Aufgaben gehört es, den gesamten Produktionsprozess zu steuern und zu überwachen.",https://www.stepstone.de/stellenangebote--Verfahrensmechaniker-w-m-d-Kunststoff-Kautschuktechnik-Brilon-EGGER-Mehr-aus-Holz-Deutschland--8847813-inline.html,stepstone,2022-11-23,Maschinenbauingenieur_Python
Konstrukteur Maschinenbau (m/w/d),vor 3 Wochen,FERCHAU GmbH,Bielefeld,"FERCHAU GmbH * Bielefeld * Feste Anstellung * Teilzeit,Vollzeit - Menschen und Technologien verbinden. Den Perfect Match für unsere Kunden gestalten. Immer die richtigen Experten für die jeweilige Herausforderung finden - das ist unser Anspruch bei FERCHAU und dafür suchen wir Sie: als ambitionierten Kollegen, der wie wir Technologien auf die nächste Stufe bringen möchte. Wir realisieren spannende Projekte für namhafte Kunden des Maschinenbaus und sorgen für sichere und nachhaltige Technologielösungen. Deine Aufgaben - Das ist zukünftig Ihr Job * Bearbeitung von mechanischen Konstruktions- und Entwicklungsaufträgen aus dem Bereich Maschinenbau * Mitarbeit in Projekten und intensive Zusammenarbeit mit allen bei der Entwicklung beteiligten Bereichen * Erstellung von Baugruppen und Einzelteilen inkl. Zeichnungsableitung und Stücklisten",https://www.stepstone.de/stellenangebote--Konstrukteur-Maschinenbau-m-w-d-Bielefeld-FERCHAU-GmbH--7838155-inline.html,stepstone,2022-11-23,Maschinenbauingenieur_Python
Entwicklungsingenieur Maschinenbau (m/w/d),vor 3 Wochen,FERCHAU GmbH,Bielefeld,"FERCHAU GmbH * Bielefeld * Feste Anstellung * Teilzeit,Vollzeit - Was unsere Kunden von ihren Technologielösungen erwarten? Das nächste Level! Das gelingt unserem Team bei FERCHAU Tag für Tag. Wir suchen Sie: als ambitionierten Kollegen, der wie wir Technologien auf die nächste Stufe bringen möchte. Wir realisieren spannende Projekte für namhafte Kunden in allen Technologien und für alle Branchen und übernehmen Verantwortung für komplexe Entwicklungsprojekte. Deine Aufgaben - Spannende Aufgaben * Entwicklung einzelner mechanischer Bauteile oder kompletter Baugruppen im (Sonder-)Maschinenbau * Eigenverantwortliche Auslegung und Entwicklung von Komponenten gemäß einschlägigen Normen (bspw. Maschinen- und Sicherheitsrichtlinien) * Anpassung und Überarbeitung vorhandener Konstruktionen und Baugruppen * Projektmanagement im Rahmen der Entwicklungsprojekte * Abteilungsüberg",https://www.stepstone.de/stellenangebote--Entwicklungsingenieur-Maschinenbau-m-w-d-Bielefeld-FERCHAU-GmbH--7838153-inline.html,stepstone,2022-11-23,Maschinenbauingenieur_Python
Ausbilder * Informatik,vor 1 Tag,Weidmüller Gruppe,Paderborn,"Hohe Motivation, sich mit Unterstützung der Fachabteilungen in neue Technologien und Inhalte einzuarbeiten (z.B. Azure, Kubernetes, Scrum, Cybersecurity, Angular, DevOps, Power BI)",https://www.stepstone.de/stellenangebote--Ausbilder-Informatik-Paderborn-Weidmueller-Gruppe--8893299-inline.html,stepstone,2022-11-23,Maschinenbauingenieur_Python
Test Engineer (m/w/d) im Bereich 3D-Animation und Sensorsimulation,vor 15 Minuten,dSPACE GmbH,Paderborn,"Gute Kenntnisse in der Programmierung mit Python, C++ und/oder C#",https://www.stepstone.de/stellenangebote--Test-Engineer-m-w-d-im-Bereich-3D-Animation-und-Sensorsimulation-Paderborn-dSPACE-GmbH--8639213-inline.html,stepstone,2022-11-23,Maschinenbauingenieur_Python
Projektingenieur (m/w/d) 3D-Generierung für die Sensorsimulation im Kontext des autonomen Fahrens,vor 15 Minuten,dSPACE GmbH,Paderborn,Gute Programmierkenntnisse in Python,https://www.stepstone.de/stellenangebote--Projektingenieur-m-w-d-3D-Generierung-fuer-die-Sensorsimulation-im-Kontext-des-autonomen-Fahrens-Paderborn-dSPACE-GmbH--8639226-inline.html,stepstone,2022-11-23,Maschinenbauingenieur_Python
Entwickler (m/w/d) für Embedded Software im Bereich ADAS/AD,vor 1 Stunde,dSPACE GmbH,Paderborn,Sehr gute Kenntnisse in den Programmiersprachen C++ und Python,https://www.stepstone.de/stellenangebote--Entwickler-m-w-d-fuer-Embedded-Software-im-Bereich-ADAS-AD-Paderborn-dSPACE-GmbH--8675339-inline.html,stepstone,2022-11-23,Maschinenbauingenieur_Python
Applikationsingenieur (m/w/d) virtuelle Absicherung von Funktionen für autonomes Fahren,vor 2 Stunden,dSPACE GmbH,Paderborn,"Programmierung mit Skriptsprachen, z.B. Python",https://www.stepstone.de/stellenangebote--Applikationsingenieur-m-w-d-virtuelle-Absicherung-von-Funktionen-fuer-autonomes-Fahren-Paderborn-dSPACE-GmbH--6957071-inline.html,stepstone,2022-11-23,Maschinenbauingenieur_Python
(Senior) Datenbank Administrator (m/w/d),vor 1 Tag,OEDIV Oetker Daten- und Informationsverarbeitung KG,"Bielefeld, Rostock, Augsburg, Oldenburg, Berlin, Chemnitz, Frankfurt am Main, Köln","Gute Kenntnisse in der Betriebssystem-Landschaft AIX/LINUX und Skriptsprachen Shell, Perl, Python, Ansible sowie in Datenbanken (HANA, Oracle, DB2, ASE, Maxdb) bringst Du mit",https://www.stepstone.de/stellenangebote--Senior-Datenbank-Administrator-m-w-d-Bielefeld-Rostock-Augsburg-Oldenburg-Berlin-Chemnitz-Frankfurt-am-Main-Koeln-OEDIV-Oetker-Daten-und-Informationsverarbeitung-KG--8942867-inline.html,stepstone,2022-11-23,Maschinenbauingenieur_Python
