job_title,publish,company,city,description,link,website,date,search_title
IT Inhouse Consultant Business Intelligence / Data Analyst (m/w/d),vor 1 Woche,Wilhelm Böllhoff GmbH & Co. KG,Bielefeld,Zur Stärkung unseres Unternehmensbereiches Wilhelm Böllhoff GmbH & Co. KG suchen wir für unseren Hauptsitz in Bielefeld Sie als IT Inhouse Consultant Business Intelligence / (m/w/d),https://www.stepstone.de/stellenangebote--IT-Inhouse-Consultant-Business-Intelligence-Data-Analyst-m-w-d-Bielefeld-Wilhelm-Boellhoff-GmbH-Co-KG--8891819-inline.html,stepstone,2022-12-05,Data_Analyst
Data Analyst / Scientist (m/w/d),vor 3 Wochen,eWolff GmbH,Bielefeld,"Finde Deine Rolle und verstärke unser Team Data Analytics als Data Analyst / Scientist (m/w/d) Data-Driven? * Science, BWL/VWL, MINT oder ähnliches studiert",https://www.stepstone.de/stellenangebote--Data-Analyst-Scientist-m-w-d-Bielefeld-eWolff-GmbH--8228787-inline.html,stepstone,2022-12-05,Data_Analyst
Consultant Data Analyst (m/w/d),vor 1 Woche,Arvato Systems GmbH,Gütersloh,"Und darum suchen wir dich als Consultant Data Analyst (m/w/d) für unseren Standort in Gütersloh mit der Möglichkeit remote zu arbeiten. * Du konzipierst Laderoutinen und Datenmodelle für die zentrale Microsoft SQL-Server -Warehouse Umgebung und entwickelst diese eigenverantwortlich weiter * Idealerweise verfügst du bereits über Berufserfahrung im Umfeld Analytics * Dein Wissen in relationalen Datenbanken (Microsoft SQL-Server) und -Warehouse Konzepten zur Aufbereitung und Historisierung von Daten zeichnen dich aus * Du kannst dich auf umfangreiche und vielfältige Weiterbildungsmöglichkeiten freuen, um deine und Agile Skills weiter auszubauen",https://www.stepstone.de/stellenangebote--Consultant-Data-Analyst-m-w-d-Guetersloh-Arvato-Systems-GmbH--8944409-inline.html,stepstone,2022-12-05,Data_Analyst
Werkstudent/in Sales Data Analyst,vor 1 Woche,DT Swiss Deutschland GmbH,Oelde,"DT Swiss Deutschland GmbH * Oelde * Studentenjobs, Werkstudent * Teilzeit - DT SWISS - SEIT 1994 - Wir gestalten, erfinden, entwickeln und definieren neu, jeden Tag. Wir streben danach, unseren technischen Führungsanspruch täglich zu behaupten. Wir geben immer unser Bestes, um Produkte zu entwickeln, die neue Massstäbe setzen. Wir unterstützen dabei, ihre Ziele zu erreichen. Jeden Tag, seit 1994 dreht sich bei uns alles um ENGINEERING PERFORMANCE. DT Swiss meticulously develops high-performance cycling components that provide a competitive edge to every ambitious cyclist*. *If you have a goal you are ambitious - Ihre Aufgaben * Unterstützung des Vertriebsmanagements bei der datengestützten Entscheidungsfindung im operativen B2B Vertrieb sowie für strategische Vertriebsprojekte * Entwicklung und Umsetzung von Umfragen, Experimenten, Tests sowie weiteren Datenquellen zu",https://www.stepstone.de/stellenangebote--Werkstudent-in-Sales-Data-Analyst-Oelde-DT-Swiss-Deutschland-GmbH--8953634-inline.html,stepstone,2022-12-05,Data_Analyst
Data / Business Analyst (m/w/d),vor 3 Wochen,eWolff GmbH,Bielefeld,"Finde Deine Rolle und verstärke unser Team Data Analytics als Data / Business Analyst (m/w/d) Data-Driven? * BWL/VWL, Science, Wirtschaftsinformatik oder ein verwandtes Fachgebiet studiert",https://www.stepstone.de/stellenangebote--Data-Business-Analyst-m-w-d-Bielefeld-eWolff-GmbH--8227460-inline.html,stepstone,2022-12-05,Data_Analyst
Data Scientist (m/w/d),vor 1 Tag,CONTACT Software GmbH,"Home-Office oder Bremen, Berlin, Paderborn, Duisburg, Köln, Frankfurt, Karlsruhe, Augsburg, München","CONTACT Software GmbH * Home-Office oder Bremen, Berlin, Paderborn, Duisburg, Köln, Frankfurt, Karlsruhe, Augsburg, München * Feste Anstellung * Home Office möglich,Vollzeit - CONTACT Software verbindet Menschen, Unternehmen und Systeme - Als führender Softwarehersteller für innovative Produktentstehungsprozesse und die digitale Transformation haben wir einen modularen Software-Baukasten auf Basis einer offenen Technologieplattform geschaffen, mit dem unsere weltweiten Kunden als internationale Marktführer ihre Produktdaten in agilen Prozessen und kollaborativen Projekten effizienter nutzen. Seit über 30 Jahren entwickeln und implementieren wir smarte Softwarelösungen, die moderne IT-Systeme mit dem Internet der Dinge (IoT) verbinden. Mehr als 350 kreative Köpfe an über zehn Standorten und ein internationales Partnernetzwerk arbeiten täglich daran, unsere Angebote und",https://www.stepstone.de/stellenangebote--Data-Scientist-m-w-d-Home-Office-oder-Bremen-Berlin-Paderborn-Duisburg-Koeln-Frankfurt-Karlsruhe-Augsburg-Muenchen-CONTACT-Software-GmbH--8869313-inline.html,stepstone,2022-12-05,Data_Analyst
Data Scientist (m/w/d),vor 5 Tagen,FERCHAU GmbH,Bielefeld,"Planung, Konzeption, Umsetzung und Wartung von Lösungen in den Bereichen Big Data und Data Science",https://www.stepstone.de/stellenangebote--Data-Scientist-m-w-d-Bielefeld-FERCHAU-GmbH--7838347-inline.html,stepstone,2022-12-05,Data_Analyst
"(Junior) Consultant (w/m/d) IT Prozesse, Big Data und Compliance",vor 2 Wochen,KPMG AG Wirtschaftsprüfungsgesellschaft,"Leipzig, Bielefeld, Dresden, Bremen, Freiburg, Essen, Mainz, Karlsruhe, Dortmund, Regensburg","Als (Junior) Consultant (w/m/d) IT Prozesse, Big Data und Compliance prüfst Du die Systeme unserer Kunden und Kundinnen und bewertest deren IT gestützte Geschäftsprozesse. * Als (Junior) Consultant (w/m/d) für IT Prozesse, Big und Compliance prüfst Du die Einhaltung von Anforderungen im IT-Compliance- und IT Governance-Umfeld und berätst unsere Kund:innen bei der Umsetzung der Regularien. Internet of Things (IoT), Big SAP, Industrie 4.0, IT-Revision, IT Audit oder Robotics sind keine Fremdwörter für Dich.",https://www.stepstone.de/stellenangebote--Junior-Consultant-w-m-d-IT-Prozesse-Big-Data-und-Compliance-Leipzig-Bielefeld-Dresden-Bremen-Freiburg-Essen-Mainz-Karlsruhe-Dortmund-Regensburg-KPMG-AG-Wirtschaftspruefungsgesellschaft--8905503-inline.html,stepstone,2022-12-05,Data_Analyst
Junior Berater*in Prozess- und Datenintegration,vor 3 Wochen,NTT DATA Business Solutions AG,"Berlin, Bielefeld, Dortmund, Göttingen, Hamburg, Heidelberg, Jena, Köln, München ...und weitere","NTT DATA Business Solutions AG - Als Teil der globalen NTT DATA Gruppe, einem der erfolgreichsten IT-Dienstleister der Welt, sind wir als NTT Business Solutions auf wertschöpfende SAP-Lösungen spezialisiert.",https://www.stepstone.de/stellenangebote--Junior-Beraterin-Prozess-und-Datenintegration-Berlin-Bielefeld-Dortmund-Goettingen-Hamburg-Heidelberg-Jena-Koeln-Muenchen-und-weitere-NTT-DATA-Business-Solutions-AG--8090946-inline.html,stepstone,2022-12-05,Data_Analyst
Backend Entwickler (m/w/d),vor 2 Wochen,BFS finance GmbH,Gütersloh,"Wir suchen Kolleg_innen, die Lust haben mitzugestalten und genau hinzuschauen - egal ob Berufseisteigende, IT-Expert_innen, _innen, Sachbearbeiter_innen, Führungskräfte oder Quereinsteigende.",https://www.stepstone.de/stellenangebote--Backend-Entwickler-m-w-d-Guetersloh-BFS-finance-GmbH--8941550-inline.html,stepstone,2022-12-05,Data_Analyst
