,job_title,publish,company_name,city
0,Data Analyst (w/m/d) Power BI mit Remote-Anteil,1 hafta önce,ATLAS TITAN Mitte GmbH,"Gütersloh, Kuzey Ren-Vestfalya, Almanya"
1,Data Analyst / Scientist (m/w/d),2 hafta önce,Dr. Wolff Group,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
2,Data / Business Analyst (m/w/d),2 hafta önce,Dr. Wolff Group,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
3,CRM Data Analyst (m/w/d),1 gün önce,hachmeister+partner,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
4,Data Analyst für Datenmodellierung und Kundenbetreuung (m/w/d),1 ay önce,Lurse,"Salzkotten, Kuzey Ren-Vestfalya, Almanya"
5,Data Engineer(m/w/d) Big Data / Power BI,4 gün önce,Poppe + Potthoff GmbH,"Werther, Kuzey Ren-Vestfalya, Almanya"
6,Marketing Data Analyst in Influencer Marketing - Remote (m/f/d),3 hafta önce,insightsON GmbH,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
7,"💻 Data Engineer | Vollzeit, unbefristet (all genders), ab sofort",1 hafta önce,COSMO CONSULT,"Paderborn, Kuzey Ren-Vestfalya, Almanya"
8,Business Intelligence Consultant (w|m|d),1 ay önce,adesso SE,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
9,Data Engineer - Remote (m/w/d),1 hafta önce,Arvato Systems,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
10,Data Engineer (all genders),1 hafta önce,WEKO Wohnen GmbH,"Paderborn, Kuzey Ren-Vestfalya, Almanya"
11,Junior SAP BW/Analytics Consultant (m/w/d),1 hafta önce,Bechtle,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
12,Data Engineer für die Datenpflege - Remote (m/w/d),1 ay önce,ORDIX AG,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
13,Consultant (w/m/d) Business Intelligence / Schwerpunkt: Qlik,1 hafta önce,Arvato Systems,"Gütersloh, Kuzey Ren-Vestfalya, Almanya"
14,(Senior) Business Intelligence Consultant (w/m/d),3 ay önce,United Headhunters,"Paderborn, Kuzey Ren-Vestfalya, Almanya"
15,Junior SAP BW/Analytics Consultant (m/w/d),1 hafta önce,Jefferson Frank,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
16,Market Intelligence Analyst (m/w/d) - Aufbauaufgabe (1827J),1 gün önce,GOLDBECK,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
17,Cloud Data Engineer (w/m/d) - in Bielefeld,1 ay önce,adesso SE,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
18,Dualer Master als Data Analyst - Remote (m/w/d),3 hafta önce,Tönnies Unternehmensgruppe,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
19,Cloud Data Engineer (m/w/d),1 hafta önce,GOLDBECK,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
20,Data Engineer Sports (all genders),1 ay önce,SO Digital Recruitment,"Paderborn, Kuzey Ren-Vestfalya, Almanya"
21,"Datenbankadministrator (m/w/d) - Datenbankentwicklung / BI, System Engineering / Admin, Ingenieur",3 hafta önce,KPMG Deutschland,"Gütersloh, Kuzey Ren-Vestfalya, Almanya"
22,Cloud Data Engineer (m/w/d),1 hafta önce,Arvato Systems,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
23,Senior Data Engineer (m/f/d),2 ay önce,diginea GmbH,"Kreis Paderborn, Kuzey Ren-Vestfalya, Almanya"
24,Werkstudent (w/m/d) für Business Intelligence,2 ay önce,Hörmann Deutschland,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
25,(Junior) Security Engineer (m/w/d),1 hafta önce,Braintower Technologies GmbH,"Gütersloh, Kuzey Ren-Vestfalya, Almanya"
26,(Junior) Technical Consultant PIM (w/m/d),1 hafta önce,LM IT Services AG,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
27,IT System Engineer (m/w/d) - Microsoft Power Plattform / Microsoft 365 Services,1 ay önce,4ALLPORTAL,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
28,Junior Cloud Engineer für ein Systemhaus (m/w/d) Remote,3 hafta önce,consenso Consulting GmbH,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
29,System Engineer Cloud Security (m/w/d),1 hafta önce,Amadeus FiRe,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
30,IT Fachinformatiker Systemintegration | System Integration Engineer (m/w/d),4 hafta önce,Arvato Systems,"Gütersloh, Kuzey Ren-Vestfalya, Almanya"
31,SAP Junior Consultant/Data Scientist (m/w/d),4 gün önce,ORDIX AG,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
32,Systemadministrator / IT System Engineer (m/w/d) Windows,2 ay önce,INLOGY,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
33,System Engineer Backup (m/w/d),1 hafta önce,GOLDBECK,"Gütersloh, Kuzey Ren-Vestfalya, Almanya"
34,Azure Cloud Engineer (w/m/d),5 gün önce,HELLA,"Paderborn, Kuzey Ren-Vestfalya, Almanya"
35,Cloud Developer (m/w/d),2 hafta önce,KPMG Deutschland,"Paderborn, Kuzey Ren-Vestfalya, Almanya"
36,IT Business Analyst (m/w/d),1 hafta önce,Arvato Systems,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
37,SYSTEM ENGINEER (M/W/D) AUTOMATED DRIVING,1 ay önce,Amadeus FiRe,"Lippstadt, Kuzey Ren-Vestfalya, Almanya"
38,Senior Consultant (w/m/d) Business Intelligence & Controlling,1 ay önce,Atos,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
39,(Senior) Data Engineer ML (m/w/d),4 gün önce,4ALLPORTAL,"Gütersloh, Kuzey Ren-Vestfalya, Almanya"
40,(Junior) IT Systemadministrator (m/w/d) / System Engineer,1 gün önce,plusserver,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
41,Werkstudent (m/w/d) SAP Analytics,3 gün önce,Weber Maschinenbau,"Paderborn, Kuzey Ren-Vestfalya, Almanya"
42,Kubernetes Engineer (m/w/d),1 ay önce,Arvato Systems,"Gütersloh, Kuzey Ren-Vestfalya, Almanya"
43,DevOps Engineer Backup (m/w/d),2 gün önce,simplicity networks GmbH,"Gütersloh, Kuzey Ren-Vestfalya, Almanya"
44,Cloud Developer (m/w/d),1 ay önce,Nigel Frank International,"Werther, Kuzey Ren-Vestfalya, Almanya"
45,Werkstudent Data Science / Data Engineering (m/w/d),2 ay önce,Brunel,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
46,System Engineer (m/w/d) Dokumenten Management Systeme,1 ay önce,Atos,"Gütersloh, Kuzey Ren-Vestfalya, Almanya"
47,IT System Engineer (m_w_d),1 gün önce,Arvato Systems,"Oelde, Kuzey Ren-Vestfalya, Almanya"
48,Cloud Data Engineer (w/m/d) - in Bielefeld,1 hafta önce,Nigel Frank International,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
49,Systems Engineer Storage/ NAS,2 hafta önce,FORTIS IT-Services GmbH,"Gütersloh, Kuzey Ren-Vestfalya, Almanya"
50,Consultant für Data & Analytics im SAP Hana Projektgeschäft (m/w/d),3 hafta önce,adesso SE,"Paderborn, Kuzey Ren-Vestfalya, Almanya"
51,System Engineer (m/w/d) IT Security,1 ay önce,adesso SE,"Gütersloh, Kuzey Ren-Vestfalya, Almanya"
52,Azure Data Engineer(w/m/d)_Energiebranche_in Bielefeld,3 hafta önce,CGI,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
53,Cloud Programmiererin AWS / Azure,1 hafta önce,Storck,"Paderborn, Kuzey Ren-Vestfalya, Almanya"
54,System Engineer Microsoft (all genders),1 hafta önce,plusserver,"Paderborn, Kuzey Ren-Vestfalya, Almanya"
55,System Engineer Microsoft 365 (all genders),1 gün önce,LIONSTEP,"Paderborn, Kuzey Ren-Vestfalya, Almanya"
56,(Senior) PL / SQL Developer (m/w/d),1 hafta önce,FORTIS IT-Services GmbH,"Bielefeld, Kuzey Ren-Vestfalya, Almanya"
57,System Engineer (m/w/d) Microsoft Infrastruktur,1 ay önce,adesso SE,"Halle, Kuzey Ren-Vestfalya, Almanya"
